,Student ID,First Faculty ID,Second Faculty ID,Third Faculty ID,Fourth Faculty ID
233,121,5,11,0,2
234,-----,-----,-----,-----,-----
235,153,3,12,4,10
236,-----,-----,-----,-----,-----
237,154,0,3,4,2
238,69,19,17,6,9
239,-----,-----,-----,-----,-----
240,157,10,6,5,1
241,-----,-----,-----,-----,-----
242,158,5,7,1,10
243,159,19,23,0,9
244,-----,-----,-----,-----,-----
245,160,1,23,0,9
246,-----,-----,-----,-----,-----
247,161,22,10,7,9
248,-----,-----,-----,-----,-----
249,162,7,9,20,12
250,336,1,15,17,14
251,-----,-----,-----,-----,-----
252,166,15,18,5,6
253,167,14,7,13,4
254,228,11,17,19,12
255,-----,-----,-----,-----,-----
256,168,7,5,4,1
257,169,2,18,22,12
258,172,10,20,17,8
259,-----,-----,-----,-----,-----
260,170,1,4,9,8
261,218,20,6,22,2
262,-----,-----,-----,-----,-----
263,173,19,1,16,20
264,151,2,8,17,11
265,273,18,3,12,9
266,-----,-----,-----,-----,-----
267,176,5,18,8,0
268,-----,-----,-----,-----,-----
269,177,1,8,15,14
270,-----,-----,-----,-----,-----
271,179,10,6,13,4
272,284,7,9,11,16
273,-----,-----,-----,-----,-----
274,181,12,18,22,7
275,225,1,9,19,6
276,-----,-----,-----,-----,-----
277,183,9,0,8,10
278,207,15,16,7,19
279,215,17,13,2,12
280,-----,-----,-----,-----,-----
281,184,22,3,1,0
282,-----,-----,-----,-----,-----
283,188,20,14,7,12
284,189,4,8,19,5
285,-----,-----,-----,-----,-----
286,191,12,6,10,1
287,38,7,23,20,5
288,-----,-----,-----,-----,-----
289,192,18,16,22,13
290,193,6,21,10,8
291,341,3,9,17,14
292,-----,-----,-----,-----,-----
293,194,15,19,13,6
294,-----,-----,-----,-----,-----
295,195,6,17,22,7
296,210,16,19,20,3
297,211,15,10,5,2
298,226,21,13,14,4
299,-----,-----,-----,-----,-----
300,197,6,21,8,18
301,204,14,17,13,0
302,163,5,16,20,19
303,-----,-----,-----,-----,-----
304,198,10,3,14,2
305,199,13,17,15,0
306,-----,-----,-----,-----,-----
307,202,19,16,12,15
308,96,17,21,11,8
309,243,2,0,22,6
310,-----,-----,-----,-----,-----
311,205,22,0,4,16
312,83,10,6,12,8
313,-----,-----,-----,-----,-----
314,206,3,5,16,8
315,150,23,22,1,2
316,-----,-----,-----,-----,-----
317,208,2,19,13,3
318,209,17,18,9,23
319,-----,-----,-----,-----,-----
320,212,1,11,4,16
321,213,17,13,22,0
322,338,10,21,9,14
323,155,8,19,5,3
324,-----,-----,-----,-----,-----
